ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
51;-9,9;-36,67;FEIRA GRANDE - AL;FEIRA GRANDE;AL;126279,5596
52;-10,29;-36,3;FELIZ DESERTO - AL;FELIZ DESERTO;AL;25815,50423
53;-9,27;-35,71;FLEXEIRAS - AL;FLEXEIRAS;AL;76177,3897
54;-9,88;-36,82;GIRAU DO PONCIANO - AL;GIRAU DO PONCIANO;AL;181129,1735
55;-8,97;-35,93;IBATEGUARA - AL;IBATEGUARA;AL;97377,44856
56;-9,53;-36,63;IGACI - AL;IGACI;AL;153070,7163
57;-10,12;-36,66;IGREJA NOVA - AL;IGREJA NOVA;AL;134319,8622
58;-9,21;-37,75;INHAPI - AL;INHAPI;AL;98409,71205
59;-9,63;-37,2;JACARE DOS HOMENS - AL;JACARE DOS HOMENS;AL;31871,45381
60;-8,84;-35,46;JACUIPE - AL;JACUIPE;AL;46227,5453
61;-9,08;-35,25;JAPARATINGA - AL;JAPARATINGA;AL;41056,49875
62;-9,65;-37;JARAMATAIA - AL;JARAMATAIA;AL;31131,71224
63;-9,13;-35,74;JOAQUIM GOMES - AL;JOAQUIM GOMES;AL;128297,0709
64;-8,93;-35,57;JUNDIA - AL;JUNDIA;AL;28772,1232
65;-9,92;-36,47;JUNQUEIRO - AL;JUNQUEIRO;AL;142524,6018
66;-9,83;-36,73;LAGOA DA CANOA - AL;LAGOA DA CANOA;AL;115758,7545
67;-9,74;-36,5;LIMOEIRO DE ANADIA - AL;LIMOEIRO DE ANADIA;AL;122008,7357
68;-9,66;-35,73;MACEIO - AL;MACEIO;AL;723230
69;-9,53;-36,98;MAJOR ISIDORO - AL;MAJOR ISIDORO;AL;115410,2849
70;-9,44;-36,38;MAR VERMELHO - AL;MAR VERMELHO;AL;29782,2317
71;-9,01;-35,22;MARAGOGI - AL;MARAGOGI;AL;101743,6404
72;-9,23;-37,35;MARAVILHA - AL;MARAVILHA;AL;86998,22856
73;-9,71;-35,89;MARECHAL DEODORO - AL;MARECHAL DEODORO;AL;175330,4915
74;-9,57;-36,3;MARIBONDO - AL;MARIBONDO;AL;88605,36439
75;-9,11;-37,73;MATA GRANDE - AL;MATA GRANDE;AL;167555,576
76;-9,15;-35,53;MATRIZ DE CAMARAGIBE - AL;MATRIZ DE CAMARAGIBE;AL;142500,6232
77;-9,38;-35,84;MESSIAS - AL;MESSIAS;AL;70701,99562
78;-9,3;-36,86;MINADOR DO NEGRAO - AL;MINADOR DO NEGRAO;AL;32898,47401
79;-9,6;-37,24;MONTEIROPOLIS - AL;MONTEIROPOLIS;AL;42542,28742
80;-9,3;-35,94;MURICI - AL;MURICI;AL;142537,8513
81;-8,91;-35,64;NOVO LINO - AL;NOVO LINO;AL;71238,27995
82;-9,53;-37,29;OLHO D'AGUA DAS FLORES - AL;OLHO D'AGUA DAS FLORES;AL;112223,263
83;-9,5;-37,83;OLHO D'AGUA DO CASADO - AL;OLHO D'AGUA DO CASADO;AL;41443,88799
84;-10,05;-36,81;OLHO D'AGUA GRANDE - AL;OLHO D'AGUA GRANDE;AL;27696,59156
85;-9,51;-37,19;OLIVENCA - AL;OLIVENCA;AL;64589,40629
86;-9,16;-37,35;OURO BRANCO - AL;OURO BRANCO;AL;61094,59066
87;-9,67;-37,32;PALESTINA - AL;PALESTINA;AL;26919,98357
88;-9,4;-36,62;PALMEIRA DOS INDIOS - AL;PALMEIRA DOS INDIOS;AL;421030,2492
89;-9,74;-37,43;PAO DE ACUCAR - AL;PAO DE ACUCAR;AL;162527,1203
90;-9,25;-38;PARICONHA - AL;PARICONHA;AL;56773,8689
91;-9,46;-35,55;PARIPUEIRA - AL;PARIPUEIRA;AL;43322,23285
92;-9,23;-35,49;PASSO DE CAMARAGIBE - AL;PASSO DE CAMARAGIBE;AL;92366,27633
93;-9,36;-36,37;PAULO JACINTO - AL;PAULO JACINTO;AL;61136,27194
94;-10,29;-36,58;PENEDO - AL;PENEDO;AL;374739,2111
95;-10,4;-36,43;PIACABUCU - AL;PIACABUCU;AL;98727,07509
96;-9,59;-35,95;PILAR - AL;PILAR;AL;209352,6685
97;-9,47;-36,29;PINDOBA - AL;PINDOBA;AL;21063,69374
98;-9,62;-37,75;PIRANHAS - AL;PIRANHAS;AL;133323,355
99;-9,31;-37,28;POCO DAS TRINCHEIRAS - AL;POCO DAS TRINCHEIRAS;AL;74023,35755
100;-9,04;-35,39;PORTO CALVO - AL;PORTO CALVO;AL;162082,6856
101;-9,15;-35,29;PORTO DE PEDRAS - AL;PORTO DE PEDRAS;AL;69601,32786
102;-10,18;-36,84;PORTO REAL DO COLEGIO - AL;PORTO REAL DO COLEGIO;AL;115353,9126
103;-9,31;-36,47;QUEBRANGULO - AL;QUEBRANGULO;AL;79447,99925
104;-9,47;-35,85;RIO LARGO - AL;RIO LARGO;AL;404505,7263
105;-9,83;-35,97;ROTEIRO - AL;ROTEIRO;AL;44231,416
106;-9,6;-35,82;SANTA LUZIA DO NORTE - AL;SANTA LUZIA DO NORTE;AL;39357,29682
107;-9,37;-37,24;SANTANA DO IPANEMA - AL;SANTANA DO IPANEMA;AL;236584,9894
108;-9,16;-36,22;SANTANA DO MUNDAU - AL;SANTANA DO MUNDAU;AL;79044,74901
109;-10,12;-36,9;SAO BRAS - AL;SAO BRAS;AL;43749,94163
110;-9,01;-36,05;SAO JOSE DA LAJE - AL;SAO JOSE DA LAJE;AL;145856,8188
111;-9,55;-37,38;SAO JOSE DA TAPERA - AL;SAO JOSE DA TAPERA;AL;177578,3014
112;-9,31;-35,56;SAO LUIS DO QUITUNDE - AL;SAO LUIS DO QUITUNDE;AL;215025,8889
113;-9,78;-36,09;SAO MIGUEL DOS CAMPOS - AL;SAO MIGUEL DOS CAMPOS;AL;327467,8065
114;-9,26;-35,37;SAO MIGUEL DOS MILAGRES - AL;SAO MIGUEL DOS MILAGRES;AL;36363,54657
115;-9,93;-36,55;SAO SEBASTIAO - AL;SAO SEBASTIAO;AL;170897,1622
116;-9,56;-35,82;SATUBA - AL;SATUBA;AL;68602,25566
117;-9,35;-37,5;SENADOR RUI PALMEIRA - AL;SENADOR RUI PALMEIRA;AL;54986,99902
118;-9,53;-36,43;TANQUE D'ARCA - AL;TANQUE D'ARCA;AL;47870,3353
119;-9,64;-36,49;TAQUARANA - AL;TAQUARANA;AL;119104,6332
120;-9,9;-36,35;TEOTONIO VILELA - AL;TEOTONIO VILELA;AL;224462,599
121;-9,97;-37;TRAIPU - AL;TRAIPU;AL;150998,97
122;-9,16;-36,03;UNIAO DOS PALMARES - AL;UNIAO DOS PALMARES;AL;337860,8755
123;-9,37;-36,24;VICOSA - AL;VICOSA;AL;169476,5204
124;-3,22;-64,8;ALVARAES - AM;ALVARAES;AM;82600,6468
125;-3,36;-68,19;AMATURA - AM;AMATURA;AM;40856,16872
126;-3,58;-61,4;ANAMA - AM;ANAMA;AM;46517,39753
127;-3,77;-61,64;ANORI - AM;ANORI;AM;71442,08304
128;-7,19;-59,89;APUI - AM;APUI;AM;76619,95188
129;-4,37;-70,19;ATALAIA DO NORTE - AM;ATALAIA DO NORTE;AM;52195,03085
130;-3,58;-59,13;AUTAZES - AM;AUTAZES;AM;161207,7781
131;-0,97;-62,92;BARCELOS - AM;BARCELOS;AM;102560,1088
132;-2,79;-57,07;BARREIRINHA - AM;BARREIRINHA;AM;126431,7882
133;-4,38;-70,03;BENJAMIN CONSTANT - AM;BENJAMIN CONSTANT;AM;148515,0812
134;-3,89;-61,37;BERURI - AM;BERURI;AM;61613,94937
135;-2,97;-57,59;BOA VISTA DO RAMOS - AM;BOA VISTA DO RAMOS;AM;54480,69619
136;-8,75;-67,39;BOCA DO ACRE - AM;BOCA DO ACRE;AM;169288,6328
137;-4,38;-59,59;BORBA - AM;BORBA;AM;154129,0591
138;-3,32;-61,2;CAAPIRANGA - AM;CAAPIRANGA;AM;42600,02684
139;-6,53;-64,38;CANUTAMA - AM;CANUTAMA;AM;50677,71649
140;-4,88;-66,89;CARAUARI - AM;CARAUARI;AM;140714,1865
141;-3,76;-60,36;CAREIRO - AM;CAREIRO;AM;115025,9988
142;-3,22;-59,82;CAREIRO DA VARZEA - AM;CAREIRO DA VARZEA;AM;117442,5773
143;-4,08;-63,14;COARI - AM;COARI;AM;339396,0181
144;-3,83;-62,05;CODAJAS - AM;CODAJAS;AM;97661,16977
145;-6,66;-69,87;EIRUNEPE - AM;EIRUNEPE;AM;159931,6988
146;-7,43;-70,02;ENVIRA - AM;ENVIRA;AM;124787,1547
147;-2,51;-66,09;FONTE BOA - AM;FONTE BOA;AM;147295,3941
148;-7,54;-72,58;GUAJARA - AM;GUAJARA;AM;69741,09674
149;-7,5;-63,02;HUMAITA - AM;HUMAITA;AM;177504,4556
150;-7,05;-71,69;IPIXUNA - AM;IPIXUNA;AM;68611,15691
151;-3,28;-60,18;IRANDUBA - AM;IRANDUBA;AM;169138,2216
152;-3,14;-58,44;ITACOATIARA - AM;ITACOATIARA;AM;428526,0082
153;-6,42;-68,25;ITAMARATI - AM;ITAMARATI;AM;49869,41917
154;-2,74;-58,02;ITAPIRANGA - AM;ITAPIRANGA;AM;42114,72464
155;-1,82;-66,59;JAPURA - AM;JAPURA;AM;43249,25528
156;-3,48;-66,06;JURUA - AM;JURUA;AM;29024,9809
157;-2,74;-66,76;JUTAI - AM;JUTAI;AM;134622,7318
158;-7,25;-64,79;LABREA - AM;LABREA;AM;185192,8026
159;-3,3;-60,62;MANACAPURU - AM;MANACAPURU;AM;444701,4913
160;-3,42;-60,45;MANAQUIRI - AM;MANAQUIRI;AM;107501,9577
161;-3,1;-60,02;MANAUS - AM;MANAUS;AM;1157357
162;-5,8;-61,3;MANICORE - AM;MANICORE;AM;253224,8735
163;-1,85;-65,58;MARAA - AM;MARAA;AM;86837,31573
164;-3,38;-57,71;MAUES - AM;MAUES;AM;235201,7828
165;-2,18;-56,71;NHAMUNDA - AM;NHAMUNDA;AM;97000,42777
166;-3,88;-59,09;NOVA OLINDA DO NORTE - AM;NOVA OLINDA DO NORTE;AM;124659,6998
167;-2,62;-60,94;NOVO AIRAO - AM;NOVO AIRAO;AM;90626,50855
168;-5,12;-60,38;NOVO ARIPUANA - AM;NOVO ARIPUANA;AM;95633,85703
169;-2,62;-56,73;PARINTINS - AM;PARINTINS;AM;463351,4874
170;-7,71;-66,97;PAUINI - AM;PAUINI;AM;126534,5057
171;-2,03;-60,02;PRESIDENTE FIGUEIREDO - AM;PRESIDENTE FIGUEIREDO;AM;66940,11137
172;-2,69;-59,7;RIO PRETO DA EVA - AM;RIO PRETO DA EVA;AM;62170,86204
173;-0,41;-65,01;SANTA ISABEL DO RIO NEGRO - AM;SANTA ISABEL DO RIO NEGRO;AM;77986,28043
174;-3,1;-67,94;SANTO ANTONIO DO ICA - AM;SANTO ANTONIO DO ICA;AM;153975,7389
175;-0,13;-67,08;SAO GABRIEL DA CACHOEIRA - AM;SAO GABRIEL DA CACHOEIRA;AM;185850,6776
176;-3,37;-68,87;SAO PAULO DE OLIVENCA - AM;SAO PAULO DE OLIVENCA;AM;125219,5589
177;-2,57;-57,87;SAO SEBASTIAO DO UATUMA - AM;SAO SEBASTIAO DO UATUMA;AM;39142,05091
178;-2,83;-58,2;SILVES - AM;SILVES;AM;40719,00346
179;-4,25;-69,93;TABATINGA - AM;TABATINGA;AM;221113,9914
180;-5,62;-63,18;TAPAUA - AM;TAPAUA;AM;112793,9763
181;-3,35;-64,71;TEFE - AM;TEFE;AM;392307,1567
182;-2,87;-67,8;TONANTINS - AM;TONANTINS;AM;93289,32839
183;-2,99;-65,1;UARINI - AM;UARINI;AM;68627,05349
184;-2,53;-57,76;URUCARA - AM;URUCARA;AM;109671,6702
185;-3,13;-58,15;URUCURITUBA - AM;URUCURITUBA;AM;107788,7385
186;2,05;-50,79;AMAPA - AP;AMAPA;AP;39088,08761
187;2,49;-50,94;CALCOENE - AP;CALCOENE;AP;34930,23005
188;0,98;-50,8;CUTIAS - AP;CUTIAS;AP;12328,23874
189;0,85;-51,18;FERREIRA GOMES - AP;FERREIRA GOMES;AP;15759,98217
190;0,71;-50,8;ITAUBAL - AP;ITAUBAL;AP;13100,70395
191;-1,12;-52;LARANJAL DO JARI - AP;LARANJAL DO JARI;AP;145579,7574
192;0,03;-51,06;MACAPA - AP;MACAPA;AP;1538101,145
193;-0,11;-51,28;MAZAGAO - AP;MAZAGAO;AP;69031,28181
194;3,84;-51,83;OIAPOQUE - AP;OIAPOQUE;AP;60068,38254
195;0,77;-51,94;PEDRA BRANCA DO AMAPARI - AP;PEDRA BRANCA DO AMAPARI;AP;21025,70143
196;0,71;-51,41;PORTO GRANDE - AP;PORTO GRANDE;AP;48810,95893
197;1,74;-50,79;PRACUUBA - AP;PRACUUBA;AP;10392,82079
198;-0,05;-51,18;SANTANA - AP;SANTANA;AP;434367,996
199;0,89;-52;SERRA DO NAVIO - AP;SERRA DO NAVIO;AP;18004,30179
200;1,5;-50,91;TARTARUGALZINHO - AP;TARTARUGALZINHO;AP;28848,80919
201;-0,8;-52,45;VITORIA DO JARI - AP;VITORIA DO JARI;AP;40670,5972
202;-13,25;-41,66;ABAIRA - BA;ABAIRA;BA;86534,45897
203;-8,72;-39,11;ABARE - BA;ABARE;BA;81865,55271
204;-11,66;-38,01;ACAJUTIBA - BA;ACAJUTIBA;BA;83632,77177
205;-10,53;-38,1;ADUSTINA - BA;ADUSTINA;BA;81024,58104
206;-11,86;-38,76;AGUA FRIA - BA;AGUA FRIA;BA;90155,24863
207;-14,12;-39,88;AIQUARA - BA;AIQUARA;BA;41079,72929
208;-12,13;-38,41;ALAGOINHAS - BA;ALAGOINHAS;BA;740113,1721
209;-17,51;-39,19;ALCOBACA - BA;ALCOBACA;BA;100351,0802
210;-14,7;-39,63;ALMADINA - BA;ALMADINA;BA;57487,7215
211;-13,03;-39,6;AMARGOSA - BA;AMARGOSA;BA;212259,9804
212;-12,39;-38,75;AMELIA RODRIGUES - BA;AMELIA RODRIGUES;BA;150633,4065
213;-11,45;-41,43;AMERICA DOURADA - BA;AMERICA DOURADA;BA;96557,60753
214;-14,61;-41,13;ANAGE - BA;ANAGE;BA;293628,6461
215;-12,8;-41,33;ANDARAI - BA;ANDARAI;BA;103777,8653
216;-10,34;-39,83;ANDORINHA - BA;ANDORINHA;BA;118517,6112
217;-12;-44,69;ANGICAL - BA;ANGICAL;BA;88739,86114
218;-12,15;-39,24;ANGUERA - BA;ANGUERA;BA;55615,90564
219;-10,4;-38,33;ANTAS - BA;ANTAS;BA;69625,31372
220;-12,43;-39,12;ANTONIO CARDOSO - BA;ANTONIO CARDOSO;BA;68664,97177
221;-10,57;-40,27;ANTONIO GONCALVES - BA;ANTONIO GONCALVES;BA;95325,73848
222;-11,66;-38,08;APORA - BA;APORA;BA;104308,0447
223;-13,85;-39,74;APUAREMA - BA;APUAREMA;BA;61723,43188
224;-12,22;-38,2;ARACAS - BA;ARACAS;BA;75207,07059
225;-14,42;-41,46;ARACATU - BA;ARACATU;BA;116752,3611
226;-11,33;-38,96;ARACI - BA;ARACI;BA;334393,9955
227;-12,08;-38,49;ARAMARI - BA;ARAMARI;BA;60924,81321
228;-15,26;-39,41;ARATACA - BA;ARATACA;BA;79261,92207
229;-13,07;-39;ARATUIPE - BA;ARATUIPE;BA;54451,54754
230;-14,31;-39,32;AURELINO LEAL - BA;AURELINO LEAL;BA;100109,1114
231;-12,3;-44,53;BAIANOPOLIS - BA;BAIANOPOLIS;BA;85868,04848
232;-11,96;-40,16;BAIXA GRANDE - BA;BAIXA GRANDE;BA;128044,8175
233;-10,57;-38,61;BANZAE - BA;BANZAE;BA;67735,45684
234;-11,08;-43,14;BARRA - BA;BARRA;BA;251648,1891
235;-13,62;-41,32;BARRA DA ESTIVA - BA;BARRA DA ESTIVA;BA;139852,1975
236;-14,88;-40,57;BARRA DO CHOCA - BA;BARRA DO CHOCA;BA;270414,4365
237;-11,81;-42,05;BARRA DO MENDES - BA;BARRA DO MENDES;BA;88784,83947
238;-14,21;-39,6;BARRA DO ROCHA - BA;BARRA DO ROCHA;BA;55092,36035
239;-12,15;-44,99;BARREIRAS - BA;BARREIRAS;BA;684899,3698
240;-11,76;-41,91;BARRO ALTO - BA;BARRO ALTO;BA;79292,61342
241;-14,81;-39,47;BARRO PRETO - BA;BARRO PRETO;BA;43077,39046
242;-15,86;-38,88;BELMONTE - BA;BELMONTE;BA;123248,2012
243;-15,03;-41,26;BELO CAMPO - BA;BELO CAMPO;BA;96658,6676
244;-11,61;-38,8;BIRITINGA - BA;BIRITINGA;BA;95581,33544
245;-14,36;-40,2;BOA NOVA - BA;BOA NOVA;BA;106301,295
246;-12,66;-40,6;BOA VISTA DO TUPIM - BA;BOA VISTA DO TUPIM;BA;112531,8124
247;-13,25;-43,41;BOM JESUS DA LAPA - BA;BOM JESUS DA LAPA;BA;333839,7969
248;-14,37;-40,5;BOM JESUS DA SERRA - BA;BOM JESUS DA SERRA;BA;75873,963
249;-12,7;-41,82;BONINAL - BA;BONINAL;BA;85910,8653
250;-11,96;-41,26;BONITO - BA;BONITO;BA;97719,3634
251;-12,82;-42,73;BOQUIRA - BA;BOQUIRA;BA;127327,1874
252;-13,38;-42,52;BOTUPORA - BA;BOTUPORA;BA;81785,57683
253;-13,1;-39,79;BREJOES - BA;BREJOES;BA;101712,9658
254;-12,48;-43,96;BREJOLANDIA - BA;BREJOLANDIA;BA;66415,64964
255;-11,99;-42,62;BROTAS DE MACAUBAS - BA;BROTAS DE MACAUBAS;BA;98001,14306
256;-14,2;-41,66;BRUMADO - BA;BRUMADO;BA;386672,6812
257;-14,95;-39,3;BUERAREMA - BA;BUERAREMA;BA;122816,8259
258;-10,7;-43,63;BURITIRAMA - BA;BURITIRAMA;BA;101926,2752
259;-14,97;-40,4;CAATIBA - BA;CAATIBA;BA;97073,77455
260;-12,53;-39,19;CABACEIRAS DO PARAGUACU - BA;CABACEIRAS DO PARAGUACU;BA;93308,50143
261;-12,61;-38,95;CACHOEIRA - BA;CACHOEIRA;BA;184070,8891
262;-14,5;-42,22;CACULE - BA;CACULE;BA;139511,4206
263;-11,09;-40,43;CAEM - BA;CAEM;BA;119319,9576
264;-14,33;-40,91;CAETANOS - BA;CAETANOS;BA;78263,9632
265;-14,06;-42,47;CAETITE - BA;CAETITE;BA;274261,5837
266;-11,69;-41,46;CAFARNAUM - BA;CAFARNAUM;BA;90626,01189
267;-13,48;-39,04;CAIRU - BA;CAIRU;BA;57258,18455
268;-11,02;-40,3;CALDEIRAO GRANDE - BA;CALDEIRAO GRANDE;BA;107178,9726
269;-15,41;-39,49;CAMACAN - BA;CAMACAN;BA;217355,5956
270;-12,69;-38,32;CAMACARI - BA;CAMACARI;BA;837461,2008
271;-13,94;-39,1;CAMAMU - BA;CAMAMU;BA;209198,6523
272;-9,51;-43,01;CAMPO ALEGRE DE LOURDES - BA;CAMPO ALEGRE DE LOURDES;BA;157985,5464
273;-10,5;-40,32;CAMPO FORMOSO - BA;CAMPO FORMOSO;BA;388830,7502
274;-13,07;-44,2;CANAPOLIS - BA;CANAPOLIS;BA;60381,48542
275;-11,68;-41,76;CANARANA - BA;CANARANA;BA;130052,1367
276;-15,67;-38,94;CANAVIEIRAS - BA;CANAVIEIRAS;BA;233748,9748
277;-11,8;-39,11;CANDEAL - BA;CANDEAL;BA;68524,98197
278;-12,66;-38,55;CANDEIAS - BA;CANDEIAS;BA;486171,0617
279;-14,41;-42,86;CANDIBA - BA;CANDIBA;BA;87539,52592
280;-15,5;-41,23;CANDIDO SALES - BA;CANDIDO SALES;BA;156977,2884
281;-10,67;-39,49;CANSANCAO - BA;CANSANCAO;BA;211719,9
282;-9,9;-39,13;CANUDOS - BA;CANUDOS;BA;116280,356
283;-11,66;-39,83;CAPELA DO ALTO ALEGRE - BA;CAPELA DO ALTO ALEGRE;BA;75474,76236
284;-11,38;-40,01;CAPIM GROSSO - BA;CAPIM GROSSO;BA;173324,0807
285;-14,6;-41,33;CARAIBAS - BA;CARAIBAS;BA;101544,5472
286;-17,73;-39,26;CARAVELAS - BA;CARAVELAS;BA;117473,9002
287;-11,94;-37,94;CARDEAL DA SILVA - BA;CARDEAL DA SILVA;BA;45499,16611
288;-14,3;-43,76;CARINHANHA - BA;CARINHANHA;BA;177442,2359
289;-9,16;-40,97;CASA NOVA - BA;CASA NOVA;BA;302450,9323
290;-12,76;-39,42;CASTRO ALVES - BA;CASTRO ALVES;BA;170113,4449
291;-12,31;-44,86;CATOLANDIA - BA;CATOLANDIA;BA;19954,73708
292;-12,35;-38,37;CATU - BA;CATU;BA;299211,5604
293;-13,32;-42,29;CATURAMA - BA;CATURAMA;BA;64571,91263
294;-11,13;-42,11;CENTRAL - BA;CENTRAL;BA;91393,36657
295;-8,98;-39,09;CHORROCHO - BA;CHORROCHO;BA;61094,88454
296;-10,6;-38,38;CICERO DANTAS - BA;CICERO DANTAS;BA;178910,8014
297;-11,1;-38,51;CIPO - BA;CIPO;BA;80394,60285
298;-14,64;-39,55;COARACI - BA;COARACI;BA;175503,1119
299;-14,18;-44,53;COCOS - BA;COCOS;BA;109198,6842
300;-12,5;-38,99;CONCEICAO DA FEIRA - BA;CONCEICAO DA FEIRA;BA;106593,8625
301;-12,8;-39,16;CONCEICAO DO ALMEIDA - BA;CONCEICAO DO ALMEIDA;BA;128490,0619
302;-11,56;-39,28;CONCEICAO DO COITE - BA;CONCEICAO DO COITE;BA;352590,0537
303;-12,42;-38,72;CONCEICAO DO JACUIPE - BA;CONCEICAO DO JACUIPE;BA;151550,4769
304;-11,81;-37,61;CONDE - BA;CONDE;BA;118393,15
305;-14,89;-41,96;CONDEUBA - BA;CONDEUBA;BA;113669,0431
306;-13,76;-41,04;CONTENDAS DO SINCORA - BA;CONTENDAS DO SINCORA;BA;33407,38042
307;-12,23;-38,75;CORACAO DE MARIA - BA;CORACAO DE MARIA;BA;156402,1033
308;-15,03;-41,93;CORDEIROS - BA;CORDEIROS;BA;72960,58888
309;-13,82;-44,45;CORIBE - BA;CORIBE;BA;109159,2068
310;-10,28;-37,92;CORONEL JOAO SA - BA;CORONEL JOAO SA;BA;131538,1768
311;-13,34;-44,63;CORRENTINA - BA;CORRENTINA;BA;182116,4948
312;-12,02;-44,25;COTEGIPE - BA;COTEGIPE;BA;80845,7715
313;-13,35;-39,81;CRAVOLANDIA - BA;CRAVOLANDIA;BA;30090,43993
314;-11,51;-38,15;CRISOPOLIS - BA;CRISOPOLIS;BA;108220,2948
315;-12,23;-44,42;CRISTOPOLIS - BA;CRISTOPOLIS;BA;85418,79444
316;-12,67;-39,1;CRUZ DAS ALMAS - BA;CRUZ DAS ALMAS;BA;320236,5576
317;-8,99;-39,9;CURACA - BA;CURACA;BA;174361,6424
318;-14,43;-39,9;DARIO MEIRA - BA;DARIO MEIRA;BA;104088,1361
319;-12,61;-38,29;DIAS D'AVILA - BA;DIAS D'AVILA;BA;229868,0985
320;-13,76;-41,77;DOM BASILIO - BA;DOM BASILIO;BA;68802,53065
321;-12,9;-39,19;DOM MACEDO COSTA - BA;DOM MACEDO COSTA;BA;24613,882
322;-12,94;-39,52;ELISIO MEDRADO - BA;ELISIO MEDRADO;BA;48431,3708
323;-15,53;-40,9;ENCRUZILHADA - BA;ENCRUZILHADA;BA;209306,6752
324;-11,94;-38,08;ENTRE RIOS - BA;ENTRE RIOS;BA;220662,6835
